#separator:tab
#html:true
#columns:Recto	Verso	Tags
#tags column:3
#notetype:Basic (and reversed card)
EBITDA	Excédent brut d'exploitation : résultat avant intérêts, impôts, amortissements. Proxy de cash opérationnel, base des multiples et covenants — mais <b>PAS du cash</b> (ignore BFR, capex, impôts).	Closing::Lexique::Compta
Valeur d'entreprise (Enterprise value, EV)	Valeur de l'outil économique, tous financeurs confondus : capitalisation boursière + dette nette (+ minoritaires, provisions). Se compare à l'EBITDA/EBIT, jamais au résultat net.	Closing::Lexique::Valo
Valeur des capitaux propres (Equity value)	Ce qui revient aux actionnaires : EV − dette nette. C'est le prix des actions.	Closing::Lexique::Valo
Dette nette (Net debt)	Dettes financières − trésorerie. En M&A, élargie aux debt-like items (retraites, litiges, earn-outs dus).	Closing::Lexique::Compta
BFR (Working capital)	Stocks + créances clients − dettes fournisseurs : le cash immobilisé dans le cycle d'exploitation. La croissance le gonfle, donc consomme du cash ; il peut être négatif (machine à cash).	Closing::Lexique::Compta
Free cash flow (FCF)	Cash opérationnel − capex : l'argent réellement disponible pour la dette, les dividendes, les acquisitions. Le chiffre du DCF et du LBO.	Closing::Lexique::Compta
DCF (Discounted cash flow)	Valorisation par actualisation des flux futurs au WACC. Donne la cohérence entre un prix et des hypothèses — jamais un chiffre unique, toujours une fourchette avec sensibilité.	Closing::Lexique::Valo
WACC	Coût moyen pondéré du capital : rendement minimal exigé par actionnaires et créanciers. Taux d'actualisation du DCF et barre à franchir pour le ROCE. = (E/V)·Ke + (D/V)·Kd·(1−t).	Closing::Lexique::Valo
Valeur terminale (Terminal value)	Valeur au-delà de l'horizon explicite du DCF : FCF·(1+g)/(WACC−g). Pèse souvent 60-80 % du total → analyse de sensibilité obligatoire, g ≤ croissance du PIB.	Closing::Lexique::Valo
Bêta (Beta)	Sensibilité d'un titre aux mouvements du marché (risque non diversifiable). Brique du CAPM pour le coût des fonds propres. β>1 = amplifie, β<1 = amortit.	Closing::Lexique::Valo
Multiple	Raccourci de valorisation : EV/EBITDA (le roi), P/E… Cohérence obligatoire entre numérateur et dénominateur (mêmes pourvoyeurs de fonds).	Closing::Lexique::Valo
Comparables boursiers (Trading comps)	Multiples de sociétés cotées similaires. Valorisation minoritaire : sans prime de contrôle.	Closing::Lexique::Valo
Transactions précédentes (Precedent transactions)	Multiples payés dans des deals M&A comparables. Incluent la prime de contrôle : plus élevés que les trading comps.	Closing::Lexique::Valo
Prime de contrôle (Control premium)	Surprix (20-40 %) payé pour le pouvoir de décider : changer le management, capter les synergies.	Closing::Lexique::Valo
